1;AUDI;Modelo  A5  Palca ijt192 Año 2016 Color gris
2;AUDI;Modelo Q5 Palca TYE192 año 2016 Color negro
3;HONDA;Modelo accord Palca VBB345 Año 2017 Color blanco
4;CHEVROLET;Modelo Aveo Palca de234 año 2017 Color azul
5;HYUNDAI;Modelo Electra Palca EEE492 Año 2018 Color negro
6;FERRARI;Modelo 488 Palca AGS234 año 2016 Color gris
7;INFINITI;Modelo Q30 Palca III342 Año 2019 Color negro
8;NISSAN;Modelo Evalia Palca VAB234 año 2018 Color negro
9;SUZUKI;Modelo Baleno Palca BBB563 Año 2016 Color Rojo
10;TOYOTA ;Modelo Auris Palca AAA123 año 2016 Color negro
